id,category,min_income,max_income,rate
kaifa_ter_b_5,B,7300001,7800000,0.01
kaifa_ter_b_6,B,7800001,8400000,0.0125
kaifa_ter_b_7,B,8400001,9650000,0.015
kaifa_ter_b_8,B,9650001,11050000,0.0175
kaifa_ter_b_9,B,11050001,11550000,0.02
kaifa_ter_b_10,B,11550001,12000000,0.0225
kaifa_ter_b_11,B,12000001,12400000,0.025
kaifa_ter_b_12,B,12400001,12950000,0.03
kaifa_ter_b_13,B,12950001,13650000,0.035
kaifa_ter_b_14,B,13650001,14950000,0.04
kaifa_ter_b_15,B,14950001,16400000,0.05
kaifa_ter_b_16,B,16400001,18450000,0.06
kaifa_ter_b_17,B,18450001,21850000,0.07
kaifa_ter_b_18,B,21850001,26000000,0.08
kaifa_ter_b_19,B,26000001,27700000,0.09
kaifa_ter_b_20,B,27700001,30150000,0.1
kaifa_ter_b_21,B,30150001,31950000,0.11
kaifa_ter_b_22,B,31950001,34400000,0.12
kaifa_ter_b_23,B,34400001,37300000,0.13
kaifa_ter_b_24,B,37300001,40750000,0.14
kaifa_ter_b_25,B,40750001,45100000,0.15
kaifa_ter_b_26,B,45100001,49950000,0.16
kaifa_ter_b_27,B,49950001,54000000,0.17
kaifa_ter_b_28,B,54000001,57850000,0.18
kaifa_ter_b_29,B,57850001,63400000,0.19
kaifa_ter_b_30,B,63400001,70250000,0.2
kaifa_ter_b_31,B,70250001,78050000,0.21
kaifa_ter_b_32,B,78050001,88750000,0.22
kaifa_ter_b_33,B,88750001,102000000,0.23
kaifa_ter_b_34,B,102000001,118000000,0.24
kaifa_ter_b_35,B,118000001,142000000,0.25
kaifa_ter_b_36,B,142000001,177000000,0.26
kaifa_ter_b_37,B,177000001,230000000,0.27
kaifa_ter_b_38,B,230000001,385000000,0.28
kaifa_ter_b_39,B,385000001,510000000,0.29
kaifa_ter_b_40,B,510000001,609000000,0.3
kaifa_ter_b_41,B,609000001,757000000,0.31
kaifa_ter_b_42,B,757000001,980000000,0.32
kaifa_ter_b_43,B,980000001,1400000000,0.33
kaifa_ter_b_44,B,1400000001,100000000000,0.34
kaifa_ter_c_1,C,0,6600000,0
kaifa_ter_c_2,C,6600001,6950000,0.0025
kaifa_ter_c_3,C,6950001,7350000,0.005
kaifa_ter_c_4,C,7350001,7800000,0.0075
kaifa_ter_c_5,C,7800001,8850000,0.01
kaifa_ter_c_6,C,8850001,9800000,0.015
kaifa_ter_c_7,C,9800001,10950000,0.02
kaifa_ter_c_8,C,10950001,11200000,0.03
kaifa_ter_c_9,C,11200001,12050000,0.035
kaifa_ter_c_10,C,12050001,12950000,0.04
kaifa_ter_c_11,C,12950001,14150000,0.05
kaifa_ter_c_12,C,14150001,15550000,0.06
kaifa_ter_c_13,C,15550001,17050000,0.07
kaifa_ter_c_14,C,17050001,19500000,0.08
kaifa_ter_c_15,C,19500001,22700000,0.09
kaifa_ter_c_16,C,22700001,24650000,0.1
kaifa_ter_c_17,C,24650001,26600000,0.11
kaifa_ter_c_18,C,26600001,28850000,0.12
kaifa_ter_c_19,C,28850001,31450000,0.13
kaifa_ter_c_20,C,31450001,34500000,0.14
kaifa_ter_c_21,C,34500001,38150000,0.15
kaifa_ter_c_22,C,38150001,42450000,0.16
kaifa_ter_c_23,C,42450001,46000000,0.17
kaifa_ter_c_24,C,46000001,49350000,0.18
kaifa_ter_c_25,C,49350001,54300000,0.19
kaifa_ter_c_26,C,54300001,60300000,0.2
kaifa_ter_c_27,C,60300001,67400000,0.21
kaifa_ter_c_28,C,67400001,75700000,0.22
kaifa_ter_c_29,C,75700001,86400000,0.23
kaifa_ter_c_30,C,86400001,100000000,0.24
kaifa_ter_c_31,C,100000001,117000000,0.25
kaifa_ter_c_32,C,117000001,138000000,0.26
kaifa_ter_c_33,C,138000001,174000000,0.27
kaifa_ter_c_34,C,174000001,250000000,0.28
kaifa_ter_c_35,C,250000001,364000000,0.29
kaifa_ter_c_36,C,364000001,495000000,0.3
kaifa_ter_c_37,C,495000001,635000000,0.31
kaifa_ter_c_38,C,635000001,840000000,0.32
kaifa_ter_c_39,C,840000001,1400000000,0.33
kaifa_ter_c_40,C,1400000001,100000000000,0.34
